Gen	theta_6PmunDintDgolDcelDlud	theta_7DintDgolDcelDlud	theta_8DgolDcelDlud	theta_9DcelDlud	tau_6PmunDintDgolDcelDlud	tau_7DintDgolDcelDlud	tau_8DgolDcelDlud	tau_9DcelDlud	lnL
57310	0.005013	0.004029	0.004923	0.001895	0.007839	0.002635	0.001828	0.000286	-104279.379
57320	0.004488	0.003850	0.001692	0.002976	0.009373	0.003151	0.002717	0.000379	-102693.124
57330	0.005220	0.003344	0.003887	0.002888	0.010902	0.003664	0.002611	0.000467	-103129.515
57340	0.006345	0.002156	0.001877	0.001813	0.009876	0.003320	0.001863	0.000848	-107154.725
57350	0.012056	0.003220	0.003697	0.002681	0.014751	0.004958	0.002949	0.001057	-101120.368
57360	0.008023	0.002000	0.003065	0.001709	0.007230	0.002569	0.001423	0.000398	-101649.774
57370	0.008881	0.001722	0.004418	0.001864	0.011264	0.004002	0.003336	0.001115	-102627.578
57380	0.006918	0.001574	0.003037	0.001774	0.010297	0.003658	0.003380	0.001493	-104417.370
57390	0.005684	0.001384	0.003712	0.002504	0.009056	0.003218	0.002750	0.000818	-105868.556
57400	0.003720	0.001433	0.008641	0.004059	0.009950	0.003535	0.002310	0.000422	-107233.631
57410	0.005088	0.001635	0.005282	0.003500	0.014355	0.004458	0.002951	0.000933	-103793.885
57420	0.008269	0.002657	0.004955	0.002588	0.023332	0.007245	0.005284	0.003335	-101070.446
57430	0.004552	0.001794	0.001778	0.002286	0.012783	0.004132	0.002576	0.001350	-104467.619
57440	0.004903	0.001648	0.003321	0.005471	0.011747	0.003797	0.001708	0.000579	-105915.066
57450	0.008195	0.002755	0.001835	0.003271	0.019636	0.006347	0.005461	0.001198	-102949.241
57460	0.015218	0.003671	0.002446	0.002801	0.026166	0.008458	0.007277	0.004886	-105662.472
57470	0.008111	0.002380	0.001149	0.002531	0.026166	0.008458	0.007796	0.004930	-103470.781
57480	0.009922	0.005718	0.002486	0.002503	0.032722	0.010577	0.009690	0.005715	-94716.419
57490	0.005192	0.008862	0.001848	0.002618	0.025309	0.008181	0.007665	0.003269	-97835.810
57500	0.004607	0.009611	0.003270	0.002584	0.024981	0.008075	0.007020	0.003227	-102639.906
57510	0.001684	0.003746	0.002546	0.002204	0.014128	0.003887	0.002817	0.000973	-106078.052
57520	0.002296	0.003562	0.002006	0.004617	0.019868	0.004958	0.004312	0.002883	-103514.693
57530	0.002273	0.001777	0.002739	0.004374	0.009911	0.002473	0.001352	0.000673	-108112.977
57540	0.002584	0.001777	0.002666	0.004414	0.009911	0.002473	0.001707	0.001510	-111144.463
57550	0.003920	0.001891	0.001329	0.002091	0.009231	0.002102	0.001451	0.001284	-105577.460
57560	0.004198	0.002019	0.002040	0.003034	0.011988	0.002245	0.001192	0.000772	-100139.512
57570	0.005039	0.001674	0.003832	0.002540	0.015732	0.003805	0.001383	0.000965	-102758.276
57580	0.009475	0.002194	0.004411	0.003969	0.023208	0.005078	0.003050	0.001715	-105588.363
57590	0.007522	0.002237	0.002285	0.009570	0.020317	0.005179	0.003090	0.000414	-98020.413
57600	0.005709	0.002237	0.001786	0.004429	0.020317	0.005179	0.003757	0.002871	-97367.645
57610	0.004997	0.004231	0.003304	0.005450	0.023451	0.005937	0.004167	0.003748	-99425.705
57620	0.005112	0.004441	0.002040	0.003681	0.016592	0.004200	0.003108	0.002532	-100521.952
57630	0.005327	0.005071	0.003482	0.003154	0.014761	0.003737	0.002991	0.002666	-105555.625
57640	0.007025	0.002741	0.006746	0.004531	0.009348	0.002366	0.001131	0.001052	-105848.637
57650	0.002911	0.001565	0.003672	0.001943	0.005338	0.001351	0.000642	0.000510	-113550.579
57660	0.008565	0.001809	0.003515	0.002521	0.006897	0.001562	0.000757	0.000610	-105285.283
57670	0.004270	0.001258	0.002249	0.003875	0.006977	0.001086	0.000431	0.000143	-116244.437
57680	0.004722	0.001266	0.001315	0.002708	0.007020	0.001093	0.000539	0.000233	-108665.261
57690	0.006206	0.003407	0.001990	0.006101	0.017229	0.002682	0.001864	0.000990	-104496.248
57700	0.006635	0.004224	0.001222	0.007425	0.009376	0.001669	0.001206	0.000622	-102422.408
57710	0.003497	0.002643	0.001595	0.002585	0.005868	0.001044	0.000570	0.000351	-107887.727
