Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10k	theta_11u	theta_12j	theta_13l	theta_14j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10k	tau_11u	tau_12j	tau_13l	phi_j<-i	phi_l<-k	lnL
26150	0.134839	0.044490	0.008439	0.009654	0.015521	0.003911	0.004035	0.003765	0.002639	0.036080	0.011174	0.009376	0.002777	0.000256	0.001563	0.001058	0.000256	0.729427	0.023618	-75427.715
26160	0.162969	0.032862	0.008026	0.007804	0.003024	0.001518	0.003248	0.001224	0.006981	0.035255	0.010919	0.009342	0.002695	0.000750	0.001528	0.000536	0.000750	0.484836	0.025399	-75438.786
26170	0.170739	0.039211	0.012094	0.007979	0.003751	0.001629	0.003490	0.006608	0.026850	0.037838	0.012048	0.010081	0.002892	0.000649	0.001639	0.000341	0.000649	0.591822	0.052726	-75434.332
26180	0.170245	0.028665	0.011574	0.003892	0.002738	0.003184	0.002938	0.004032	0.006031	0.035765	0.014896	0.007247	0.003310	0.001045	0.001193	0.001028	0.001045	0.603325	0.042100	-75441.560
26190	0.120799	0.032334	0.017752	0.005225	0.002529	0.003154	0.003145	0.004734	0.003835	0.035420	0.014753	0.008746	0.003414	0.000714	0.001181	0.000941	0.000714	0.558157	0.016287	-75407.470
26200	0.103558	0.039536	0.011722	0.005902	0.003882	0.002333	0.001482	0.007074	0.002062	0.035511	0.014309	0.009823	0.002981	0.000239	0.001184	0.000814	0.000239	0.620962	0.045176	-75412.879
26210	0.130422	0.033529	0.012450	0.006788	0.002203	0.002498	0.003473	0.002623	0.009266	0.038014	0.016551	0.009482	0.002966	0.000264	0.001268	0.001193	0.000264	0.537278	0.014668	-75438.109
26220	0.110459	0.043435	0.018866	0.003190	0.001136	0.002659	0.006477	0.004669	0.005399	0.036242	0.015737	0.009040	0.002933	0.000217	0.001208	0.000334	0.000217	0.634800	0.075234	-75437.021
26230	0.144100	0.032599	0.019256	0.003698	0.011004	0.002516	0.002933	0.005493	0.011992	0.038807	0.016138	0.007729	0.002335	0.000490	0.001294	0.000846	0.000490	0.498747	0.005855	-75459.839
26240	0.144595	0.030647	0.012758	0.003742	0.004755	0.002516	0.004074	0.002425	0.007337	0.038807	0.016255	0.007681	0.001961	0.000418	0.001294	0.001264	0.000418	0.762640	0.040740	-75439.527
26250	0.130853	0.036820	0.018379	0.003631	0.001561	0.003720	0.002429	0.001714	0.003006	0.044155	0.018906	0.009611	0.002231	0.000885	0.002040	0.001242	0.000885	0.535912	0.039624	-75447.218
