Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
65940	0.187352	0.021592	0.021340	0.003414	0.006901	0.003215	0.004366	0.030237	0.020009	0.003997	0.002268	0.003666	0.001682	0.771367	-75668.122
65950	0.139108	0.006527	0.027115	0.002114	0.009234	0.013151	0.006222	0.029378	0.024831	0.003883	0.002608	0.003844	0.002235	0.628331	-75682.336
65960	0.101297	0.007822	0.023322	0.001920	0.008062	0.003519	0.019370	0.028685	0.023841	0.003728	0.002407	0.003585	0.001990	0.554661	-75749.739
65970	0.113404	0.007265	0.023069	0.002374	0.053897	0.004115	0.003903	0.026641	0.022142	0.003463	0.002223	0.002401	0.001776	0.498912	-75717.666
65980	0.133375	0.008212	0.025467	0.003173	0.002748	0.002076	0.003365	0.029411	0.023964	0.003823	0.002170	0.003774	0.000983	0.680738	-75705.562
65990	0.142018	0.008723	0.031254	0.002719	0.006858	0.000772	0.004990	0.031243	0.025456	0.004061	0.002824	0.002784	0.001048	0.864559	-75697.327
66000	0.155262	0.011560	0.029651	0.002644	0.005765	0.004549	0.007576	0.029470	0.024931	0.003830	0.002525	0.003252	0.002267	0.726542	-75770.840
66010	0.143365	0.009867	0.029710	0.002413	0.012423	0.004546	0.010569	0.026899	0.023466	0.003496	0.002305	0.002362	0.001890	0.817725	-75741.181
66020	0.114645	0.008999	0.025322	0.003117	0.007960	0.002294	0.005476	0.024533	0.021402	0.003189	0.001429	0.002648	0.000578	0.821816	-75699.177
66030	0.146410	0.004288	0.025322	0.002025	0.004772	0.002356	0.003157	0.024533	0.021402	0.003189	0.002525	0.002918	0.001873	0.873005	-75779.815
66040	0.172701	0.008545	0.033024	0.002638	0.013585	0.001609	0.002756	0.031994	0.027911	0.004158	0.003712	0.002231	0.002191	0.789335	-75701.669
66050	0.130835	0.009687	0.022784	0.004435	0.002429	0.013498	0.003571	0.031081	0.023814	0.004040	0.002463	0.003814	0.002010	0.893283	-75696.651
66060	0.114566	0.011077	0.025165	0.005360	0.005104	0.004697	0.002924	0.025447	0.020532	0.003307	0.001762	0.003164	0.000710	0.915825	-75703.974
66070	0.142027	0.011862	0.028096	0.003491	0.002980	0.005711	0.002787	0.028411	0.021173	0.003693	0.002613	0.002517	0.001923	0.999024	-75776.075
66080	0.152220	0.015695	0.026423	0.005228	0.003897	0.002908	0.002621	0.026900	0.019215	0.003473	0.002285	0.002645	0.001425	0.999024	-75705.485
66090	0.136932	0.016269	0.026563	0.002919	0.002338	0.002396	0.002823	0.025368	0.016781	0.003275	0.002737	0.003190	0.002279	0.999024	-75633.053
66100	0.114884	0.011730	0.028356	0.003936	0.005123	0.002188	0.003014	0.027080	0.017914	0.003496	0.002152	0.002841	0.000322	0.876487	-75696.364
66110	0.157364	0.009762	0.026113	0.007761	0.008809	0.016931	0.008209	0.027866	0.024028	0.003598	0.001231	0.002309	0.000144	0.928870	-75805.873
66120	0.142105	0.009604	0.026035	0.011972	0.000946	0.001324	0.003053	0.027463	0.023081	0.003545	0.001413	0.000933	0.000504	0.987628	-75709.112
66130	0.166232	0.009399	0.025480	0.003490	0.008055	0.002938	0.004224	0.026877	0.022588	0.003470	0.002541	0.002802	0.002539	0.987628	-75754.172
66140	0.162432	0.007081	0.033031	0.008378	0.008185	0.002617	0.003704	0.025887	0.021740	0.003340	0.002157	0.002345	0.001939	0.987628	-75597.388
66150	0.128200	0.007280	0.026008	0.001902	0.002401	0.003344	0.004529	0.026616	0.022352	0.003434	0.002946	0.003419	0.001936	0.885319	-75646.254
66160	0.155190	0.008989	0.033724	0.004465	0.004520	0.004485	0.004257	0.028430	0.023876	0.003668	0.002750	0.002349	0.001276	0.971771	-75694.061
66170	0.183667	0.010376	0.027165	0.002563	0.006056	0.002136	0.002601	0.032068	0.024569	0.004137	0.003330	0.003833	0.002821	0.884801	-75780.679
66180	0.158054	0.008777	0.037213	0.004008	0.009397	0.003070	0.010310	0.027126	0.020782	0.003499	0.002452	0.003441	0.001762	0.849221	-75729.396
66190	0.134664	0.013679	0.023528	0.002424	0.001940	0.005463	0.007314	0.027126	0.019897	0.003499	0.002841	0.003416	0.000652	0.573368	-75662.083
66200	0.145025	0.012962	0.028329	0.000979	0.010338	0.006098	0.012749	0.027251	0.020981	0.003516	0.002735	0.002915	0.002279	0.470729	-75658.732
66210	0.166822	0.008171	0.031147	0.003840	0.004362	0.012875	0.002261	0.030668	0.023338	0.003910	0.001828	0.003673	0.000997	0.744041	-75609.941
66220	0.172959	0.021586	0.035882	0.001701	0.024636	0.004377	0.001737	0.036375	0.024760	0.004532	0.003284	0.003542	0.002704	0.545442	-75669.679
66230	0.127262	0.015107	0.032713	0.004357	0.007274	0.008368	0.001416	0.030332	0.022883	0.003693	0.002183	0.003473	0.001443	0.740284	-75644.450
