Gen	theta_6PmunDintDcelDludDgol	theta_7DintDcelDludDgol	theta_8DcelDludDgol	theta_9DludDgol	tau_6PmunDintDcelDludDgol	tau_7DintDcelDludDgol	tau_8DcelDludDgol	tau_9DludDgol	lnL
3390	0.009166	0.004265	0.003564	0.004042	0.010508	0.008885	0.004598	0.000850	-106388.521
3400	0.005742	0.001650	0.004488	0.002312	0.011253	0.009752	0.005147	0.001991	-102378.846
3410	0.016131	0.005609	0.006491	0.005118	0.031285	0.025997	0.015632	0.006893	-99731.110
3420	0.005126	0.004011	0.002281	0.001814	0.009259	0.007208	0.004146	0.001704	-103804.778
3430	0.007835	0.004436	0.002389	0.003270	0.009664	0.007395	0.004352	0.001335	-107770.767
3440	0.010931	0.006647	0.002050	0.002722	0.010046	0.006558	0.004538	0.001707	-102252.142
3450	0.006284	0.010109	0.002034	0.001540	0.010046	0.006022	0.004541	0.003016	-104377.848
3460	0.004886	0.004183	0.003435	0.002835	0.008278	0.005381	0.003805	0.002384	-111863.494
3470	0.004333	0.002004	0.006965	0.006446	0.005837	0.003898	0.002321	0.000398	-102293.324
3480	0.003652	0.002944	0.003370	0.006264	0.008751	0.005892	0.005267	0.002091	-107164.422
3490	0.002504	0.004019	0.005175	0.004208	0.006000	0.003667	0.002819	0.001579	-102613.044
3500	0.002609	0.004187	0.006897	0.004161	0.006251	0.003821	0.003023	0.001987	-104412.481
3510	0.002485	0.004104	0.007320	0.006871	0.005954	0.003613	0.002727	0.000678	-105934.192
3520	0.001879	0.003399	0.006290	0.003888	0.004054	0.002353	0.002004	0.001541	-106989.595
3530	0.003821	0.006914	0.002197	0.005186	0.008245	0.004786	0.004068	0.002994	-101167.042
3540	0.005191	0.002563	0.002724	0.002537	0.004564	0.002831	0.001887	0.001436	-109848.723
3550	0.003416	0.005851	0.004438	0.003732	0.004998	0.002888	0.001387	0.000206	-111495.605
3560	0.006295	0.003749	0.003074	0.005816	0.005593	0.003231	0.001642	0.000600	-104861.341
3570	0.006362	0.004181	0.006096	0.003381	0.007033	0.004713	0.002020	0.000923	-106237.078
3580	0.004064	0.006043	0.004779	0.002982	0.003759	0.002252	0.001080	0.000640	-109989.005
3590	0.003362	0.004036	0.003244	0.002401	0.002638	0.001609	0.000916	0.000377	-111976.743
3600	0.003992	0.003599	0.003775	0.003196	0.005736	0.004052	0.002210	0.001453	-107226.061
3610	0.001875	0.003991	0.003187	0.005333	0.005857	0.004087	0.002256	0.001645	-111750.312
3620	0.001404	0.003572	0.002391	0.004623	0.005697	0.005114	0.002216	0.001905	-108013.021
3630	0.001872	0.006926	0.002573	0.015788	0.006130	0.005647	0.002384	0.001530	-105420.391
3640	0.003683	0.005619	0.002388	0.012060	0.008678	0.008114	0.004865	0.004010	-107687.281
3650	0.005150	0.007659	0.002469	0.018001	0.012136	0.011097	0.008170	0.006249	-98079.853
3660	0.004562	0.006810	0.001876	0.003376	0.010751	0.009569	0.007248	0.005789	-105888.570
3670	0.002110	0.006303	0.002152	0.002620	0.010927	0.008934	0.007660	0.005990	-104174.121
3680	0.003100	0.003122	0.002842	0.004005	0.014214	0.012873	0.011080	0.004582	-110073.758
3690	0.003529	0.003740	0.007111	0.003414	0.016183	0.014555	0.012420	0.008716	-103391.771
3700	0.002122	0.001413	0.004205	0.003142	0.009728	0.008787	0.007704	0.004964	-106039.038
3710	0.003734	0.003077	0.003233	0.004641	0.017120	0.015091	0.014113	0.007353	-102605.255
3720	0.003037	0.001942	0.003666	0.005851	0.021249	0.019250	0.016735	0.009115	-102727.686
3730	0.003027	0.002113	0.002999	0.011137	0.021183	0.018989	0.013056	0.004868	-99579.180
3740	0.006996	0.002592	0.003033	0.003502	0.020207	0.017164	0.012567	0.011055	-106809.300
3750	0.003042	0.002796	0.002005	0.004940	0.013357	0.010788	0.008307	0.007307	-101855.121
3760	0.003530	0.003469	0.002499	0.008086	0.015777	0.012556	0.010386	0.008606	-99716.527
3770	0.001429	0.001724	0.001709	0.002286	0.006386	0.005397	0.003862	0.003483	-106808.135
3780	0.001698	0.005150	0.002696	0.002650	0.007588	0.005723	0.005020	0.003963	-102666.624
3790	0.001928	0.004950	0.004977	0.007815	0.007365	0.006055	0.005050	0.001001	-104989.912
3800	0.001924	0.004808	0.004577	0.006756	0.008223	0.006350	0.005763	0.001808	-104912.312
3810	0.002148	0.007574	0.003263	0.003724	0.009364	0.007134	0.006539	0.002364	-109419.214
3820	0.002050	0.004436	0.006372	0.007850	0.008935	0.007148	0.006128	0.001285	-109073.421
3830	0.001923	0.004284	0.006114	0.005974	0.008384	0.006625	0.006018	0.001819	-106854.542
